"filename", "language", "C#", "XML", "JSON", "comment", "blank", "total"
"c:\Users\UserName\Desktop\MathRoom\Helpers\Drawer.cs", "C#", 24, 0, 0, 0, 4, 28
"c:\Users\UserName\Desktop\MathRoom\Helpers\PathFinding\PathFinder.cs", "C#", 74, 0, 0, 0, 21, 95
"c:\Users\UserName\Desktop\MathRoom\Helpers\PathFinding\PathNode.cs", "C#", 23, 0, 0, 0, 4, 27
"c:\Users\UserName\Desktop\MathRoom\Helpers\Structs\TreeNode.cs", "C#", 54, 0, 0, 0, 11, 65
"c:\Users\UserName\Desktop\MathRoom\MathRoom.cs", "C#", 52, 0, 0, 1, 11, 64
"c:\Users\UserName\Desktop\MathRoom\MathRoom.csproj", "XML", 0, 35, 0, 0, 1, 36
"c:\Users\UserName\Desktop\MathRoom\Patterns\Singleton.cs", "C#", 17, 0, 0, 0, 2, 19
"c:\Users\UserName\Desktop\MathRoom\Program.cs", "C#", 12, 0, 0, 0, 2, 14
"c:\Users\UserName\Desktop\MathRoom\Scenes\AStar.cs", "C#", 200, 0, 0, 4, 39, 243
"c:\Users\UserName\Desktop\MathRoom\Scenes\Boids.cs", "C#", 208, 0, 0, 3, 70, 281
"c:\Users\UserName\Desktop\MathRoom\Scenes\DoublePendulum.cs", "C#", 104, 0, 0, 6, 20, 130
"c:\Users\UserName\Desktop\MathRoom\Scenes\FractalTree.cs", "C#", 56, 0, 0, 0, 15, 71
"c:\Users\UserName\Desktop\MathRoom\Scenes\IScene.cs", "C#", 38, 0, 0, 0, 9, 47
"c:\Users\UserName\Desktop\MathRoom\Scenes\Life.cs", "C#", 90, 0, 0, 5, 20, 115
"c:\Users\UserName\Desktop\MathRoom\Scenes\Parabola.cs", "C#", 138, 0, 0, 4, 35, 177
"c:\Users\UserName\Desktop\MathRoom\Scenes\SceneManager\DefaultSceneManager.cs", "C#", 92, 0, 0, 0, 31, 123
"c:\Users\UserName\Desktop\MathRoom\Scenes\SceneManager\ISceneManager.cs", "C#", 18, 0, 0, 0, 8, 26
"c:\Users\UserName\Desktop\MathRoom\bin\Debug\netcoreapp3.1\MathRoom.deps.json", "JSON", 0, 0, 2431, 0, 0, 2431
"c:\Users\UserName\Desktop\MathRoom\bin\Debug\netcoreapp3.1\MathRoom.runtimeconfig.dev.json", "JSON", 0, 0, 9, 0, 0, 9
"c:\Users\UserName\Desktop\MathRoom\bin\Debug\netcoreapp3.1\MathRoom.runtimeconfig.json", "JSON", 0, 0, 12, 0, 0, 12
"c:\Users\UserName\Desktop\MathRoom\obj\Debug\netcoreapp3.1\.NETCoreApp,Version=v3.1.AssemblyAttributes.cs", "C#", 3, 0, 0, 1, 1, 5
"c:\Users\UserName\Desktop\MathRoom\obj\Debug\netcoreapp3.1\MathRoom.AssemblyInfo.cs", "C#", 9, 0, 0, 10, 5, 24
"c:\Users\UserName\Desktop\MathRoom\obj\MathRoom.csproj.nuget.dgspec.json", "JSON", 0, 0, 94, 0, 0, 94
"c:\Users\UserName\Desktop\MathRoom\obj\MathRoom.csproj.nuget.g.props", "XML", 0, 124, 0, 0, 0, 124
"c:\Users\UserName\Desktop\MathRoom\obj\MathRoom.csproj.nuget.g.targets", "XML", 0, 10, 0, 0, 0, 10
"c:\Users\UserName\Desktop\MathRoom\obj\project.assets.json", "JSON", 0, 0, 7648, 0, 0, 7648
"Total", "-", 1212, 169, 10194, 34, 309, 11918